"Processed Cells","Replicating","Replicating & RPC","RPC Outliers","Alpha/Mapd/Gini","Good Quality Cells","Normal Cells","Sample","Cell line","feature1","feature2"
288,35,1,25,41,187,0,"23003","PEO1","HRD","Cisplatin sensitive"
282,64,2,12,53,153,0,"23303","PEO1","HRD","Cisplatin sensitive"
236,41,0,14,39,142,0,"23359","PEO1","HRD","Cisplatin sensitive"
123,17,0,0,12,94,0,"23526","PEO4","HRP","Cisplatin Resistant"
337,60,4,2,28,247,0,"23527","PEO23","HRP","Cisplatin Resistant"
382,97,5,3,36,246,0,"23528","PEO23","HRP","Cisplatin Resistant"
384,80,0,3,57,244,0,"23961","CIOV3","HRP","-"
380,43,0,1,38,298,0,"24077","PEO4","HRP","Cisplatin Resistant"
312,34,7,51,79,148,0,"24078","CIOV6","HRD","-"
371,60,3,0,41,269,0,"24130","PEO6","HRP","Cisplatin Resistant"
382,46,1,4,55,277,10,"24175","HCT116","HRP","BRCA2 WT"
383,32,0,2,74,250,0,"24441","CIOV6","HRD","-"
335,25,5,115,81,114,0,"24532","PEO1","HRD","Cisplatin Sensitive"
334,38,2,4,75,217,0,"24174","HCT116 BRCA2 -/-","HRD","BRCA2 null"
383,43,1,5,90,245,0,"24173","PEO14","HRD","Cisplatin Sensitive"
382,35,0,2,55,290,0,"24489","UWB1.289 BRCA","HRP","BRCA1 restored"
287,41,1,14,39,193,0,"24007","PEO1","HRD","Cisplatin Sensitive"
384,36,1,7,28,313,0,"23965","PEO1","HRD","Cisplatin Sensitive"
372,39,0,2,35,296,0,"24490","UWB1.289","HRD","BCRA1 mutation"
382,73,1,1,41,267,0,"24491","PEO1 MISSENSE","HRD","-"
384,79,0,1,54,250,0,"24518","PEO1 STOP","HRD","-"
253,55,49,157,41,0,0,"24835","PEO1","HRD","Cisplatin Sensitive"
7356,1073,83,425,1092,4740,10,"Total","","",""
